first_name,last_name,email,password_hash,phone_number,date_of_birth,time_on_app,user_type,is_active,last_payment_method,reviews,last_ip,last_coordinates,last_device,last_browser,last_os,last_login,last_logout,in_cart,wishlist,last_search,created_date,generated_at,purchase_count,total_spent
Peter,Stxanley,peterstxanley@outlook.com,4xVtDl3KK3rUxL80,3456657007,01/31/1958,91 hours 19 minutes 16 seconds,free-trial,true,credit_card,"[""I am very happy the way that this ankle boots"", ""I am very dissatisfied with this slipper socks."", ""I am very happy with the way that this makeup set has changed the very way that I live."", ""Wow I cannot believe this sandals""]",91.90.209.111,"LAT: 63, LONG: -113",android,safari,android,10/10/2022 15:59:19,05/03/2023 16:04:33,"[""kitchen towels"", ""apron"", ""measuring cups"", ""ceramic cookware"", ""grater""]","[""kitchen towels"", ""oven mitts"", ""ceramic cookware""]",kitchen scale,11/01/2024,2025-07-31 16:57:57,0,0
Finn,Macevan,finnmacevan@icloud.com,QdLYo6RwFPlraIlH,7096766658,01/06/1951,47 hours 1 minutes 42 seconds,premium,true,stripe,"[""I am cannot believe my eyes when I saw this blender. I am very happy with this blender"", ""My son bought this play kitchen and he has been telling me how happy he is with this play kitchen!"", ""The way the action figures has changed my life, I could not believe my eyes when I saw this action figures!"", ""The way I was treated, I could not believe my ears. Hope you don't have to go through this laptop stand."", ""I am very happy with the way that this fantasy novel has changed the very way that I live.""]",66.43.136.170,"LAT: 30, LONG: 82",unknown,safari,unknown,12/12/2022 15:00:55,06/06/2024 02:59:23,"[""smart speaker""]","[""smart home hub""]",tablet,11/01/2024,2025-07-31 16:57:57,2,12166.35
Vic,Mcray,vicmcray@gmail.com,n7lstSO52tdeV1j8,4952071264,09/01/2002,121 hours 1 minutes 32 seconds,premium,true,stripe,"[""I am very happy with video game console"", ""The way this socks has changed my life, I could not believe my eyes when I saw this socks!"", ""I am very happy with the way that this bathrobe""]",193.158.148.171,"LAT: 31, LONG: 45",android,firefox,android,12/08/2023 22:13:10,01/07/2024 22:19:00,"[""exercise bike"", ""sports water bottle"", ""sports gloves""]","[""fitness tracker accessories"", ""wrist wraps"", ""balance board""]",balance board,11/01/2024,2025-07-31 16:57:57,4,6939.92
Udo,Diwyn,udodiwyn@yahoo.com,aRUKZhHvnzQ6KLx4,2974670661,08/21/2004,71 hours 29 minutes 42 seconds,regular,true,stripe,"[""I am very happy with this sneakers"", ""I want to thank you for this ladle, it has changed my life. I am very happy with this ladle!"", ""I am very happy with the way that this boots has changed the very way that I live.""]",101.216.119.122,"LAT: 65, LONG: 61",android,firefox,android,10/31/2024 09:59:40,10/30/2022 05:27:14,"[""skincare set"", ""curling iron"", ""bobby pins"", ""makeup remover wipes""]","[""bobby pins""]",comb,11/01/2024,2025-07-31 16:57:57,3,33616.57
Ola,Dibea,oladibea@icloud.com,PibwudnEaVRAJlPO,0321221712,04/17/1958,123 hours 41 minutes 26 seconds,free-trial,true,credit_card,"[""I am very frustrated with the Customer Service, they kept dropping my calls smartwatch."", ""I love this dress shoes."", ""The way I was treated, I could not believe my ears. Hope you don't have to go through this phone case."", ""I am very frustrated with the Customer Service, they kept dropping my calls. I just want to return this pet toothbrush.""]",181.132.154.251,"LAT: 1, LONG: 29",windows,chrome,windows,05/30/2023 16:39:15,12/06/2024 19:30:11,"[""air purifier"", ""washing machine"", ""microwave oven accessories""]","[""water heater"", ""humidifier"", ""toaster accessories""]",food processor parts,11/01/2024,2025-07-31 16:57:57,0,0
Sia,Lacalley,sialacalley@outlook.com,lGjt6BnfZQX2T28Z,9841724718,09/09/1994,13 hours 54 minutes 30 seconds,free-trial,false,paypal,"[""My son bought this and he is very happy with this young adult novel""]",179.60.99.204,"LAT: 54, LONG: 30",android,chrome,android,05/26/2022 19:08:35,06/09/2023 05:56:39,"[""oven"", ""slow cooker"", ""air conditioner"", ""humidifier filters""]","[""toaster accessories"", ""air purifier""]",air conditioner,11/01/2024,2025-07-31 16:57:57,0,0
Dan,Max,danmax@yahoo.com,gOPGW39OQxaAHTNk,9130104962,01/29/1960,66 hours 25 minutes 20 seconds,regular,true,stripe,"[""My son bought this pet toothpaste and he has been telling me how happy he is with this pet toothpaste!"", ""I want to thank you for this headphones, it has changed my life. I am very happy with this headphones!"", ""My son bought this lip gloss and he has been telling me how happy he is with this lip gloss!""]",155.167.210.48,"LAT: 81, LONG: -85",android,firefox,android,07/17/2022 16:04:59,08/20/2022 18:35:56,"[""hair ties"", ""shaving kit"", ""lip gloss"", ""nail polish set"", ""cosmetic organizer""]","[""hair ties"", ""hair accessories set"", ""eyebrow pencil"", ""shower gel""]",body lotion,11/01/2024,2025-07-31 16:57:57,0,0
Zia,Omoe,ziaomoe@hotmail.com,z33GLDMY8jvUvrcd,6294858592,11/14/1999,58 hours 31 minutes 23 seconds,premium,true,stripe,"[""I am very happy with shoe bags""]",57.112.177.144,"LAT: -17, LONG: 158",windows,chrome,windows,05/11/2023 20:56:52,09/20/2023 11:29:34,"[""cast iron skillet""]","[""non-stick cookware""]",food processor,11/01/2024,2025-07-31 16:57:57,0,0
Owen,Wan,owenwan@outlook.com,1UXGh43tBmKMEUbV,8312381164,11/11/1954,79 hours 42 minutes 40 seconds,regular,true,credit_card,"[""I am not satisfied with this jumpsuit."", ""I am very happy with children's book"", ""Wow this is an amazing history book."", ""I am very happy with shoe storage, it has changed my life."", ""I want to thank you for this heel grips, it has changed my life. I am very happy with this heel grips!""]",24.217.212.82,"LAT: 0, LONG: 78",windows,safari,windows,11/04/2023 11:22:53,07/14/2022 03:04:13,"[""stuffed animals"", ""educational toys"", ""action figure storage"", ""lego storage"", ""remote control car""]","[""arts and crafts kits"", ""science kits""]",puzzle storage,11/01/2024,2025-07-31 16:57:57,1,3609.1
Sly,Bensen,slybensen@yahoo.com,SxHgin2nquGdJYsF,1550464199,12/17/1982,19 hours 17 minutes 58 seconds,premium,true,paypal,"[""I am very happy with the way that this hockey stick has changed the very way that I live."", ""I am very dissatisfied with this hair accessories set."", ""The way I was treated, I could not believe my ears. Hope you don't have to go through this socks."", ""I want to thank you for this tablet, it has changed my life. I am very happy with this tablet!"", ""I am very happy with stuffed animals""]",77.119.37.184,"LAT: -71, LONG: 34",windows,firefox,windows,08/10/2024 19:04:30,06/16/2022 10:25:53,"[""textbook"", ""young adult novel""]","[""children's book""]",bookshelf organizers,11/01/2024,2025-07-31 16:57:57,0,0
