first_name,last_name,email,password_hash,phone_number,date_of_birth,time_on_app,user_type,is_active,last_payment_method,reviews,last_ip,last_coordinates,last_device,last_browser,last_os,last_login,last_logout,in_cart,wishlist,last_search,created_date,generated_at,purchase_count,total_spent
Nia,Vonquoton,niavonquoton@yahoo.com,BBXrIdbTOElyQWtz,8330383245,09/20/1987,76 hours 44 minutes 43 seconds,regular,true,credit_card,"[""I am very frustrated with the Customer Service, they kept dropping my calls hoodie.""]",179.197.82.150,"LAT: 37, LONG: 87",windows,safari,windows,04/03/2022 09:59:00,09/20/2024 17:33:00,"[""slow cooker""]","[""slow cooker"", ""electric kettle parts"", ""toaster accessories"", ""air purifier"", ""microwave oven""]",stove,01/01/2024,2025-07-31 16:57:57,0,0
Liam,Wendy,liamwendy@gmail.com,skirw9yHB7YoINdA,9187615030,11/10/1980,36 hours 41 minutes 56 seconds,premium,true,credit_card,"[""Wow this is an amazing eyelash curler."", ""The way I was treated, I could not believe my ears. Hope you don't have to go through this bath bombs."", ""The way I was treated, I could not believe my ears. Hope you don't have to go through this smart lock.""]",143.77.239.152,"LAT: 42, LONG: -38",unknown,firefox,MacOS,12/02/2024 08:43:08,03/15/2022 03:22:49,"[""pet training treats"", ""pet toys"", ""pet carrier""]","[""pet food storage container"", ""pet flea and tick treatment"", ""pet grooming wipes"", ""pet training pads""]",pet first aid kit,01/01/2024,2025-07-31 16:57:57,2,3051.1800000000003
Udo,Elxander,udoelxander@protonmail.com,3KItgxtLEZJ0OP2b,0098737993,03/08/1988,116 hours 51 minutes 20 seconds,regular,true,credit_card,"[""I am cannot believe my eyes when I saw this shoehorn. I am very happy with this shoehorn"", ""I am very happy the way that this beauty blender""]",220.45.43.106,"LAT: 44, LONG: 137",windows,chrome,windows,10/02/2023 15:14:48,09/14/2023 03:35:51,"[""pilates reformer"", ""sports gloves"", ""elliptical machine""]","[""golf clubs""]",yoga blocks,01/01/2024,2025-07-31 16:57:57,1,1311.29
Via,Opaul,viaopaul@gmail.com,BFFzGiwZwH2R5XxL,4952321612,06/12/1973,18 hours 4 minutes 11 seconds,free-trial,true,stripe,"[""I am very happy with pet toys set"", ""The way I was treated, I could not believe my ears. Hope you don't have to go through this mystery novel.""]",65.130.100.185,"LAT: -38, LONG: 18",android,safari,android,10/12/2024 07:34:03,12/07/2023 23:30:54,"[""hair clips"", ""shaving kit"", ""nail clippers"", ""beard grooming kit""]","[""makeup remover wipes"", ""body lotion"", ""cosmetic organizer""]",makeup remover wipes,01/01/2024,2025-07-31 16:57:57,2,3010.0899999999997
Xander,Lasia,xanderlasia@yahoo.com,wbO1mohP29ePH39V,4110961654,04/08/1999,117 hours 57 minutes 15 seconds,free-trial,true,paypal,"[""I am very happy with rice cooker"", ""I am very frustrated with the Customer Service, they kept dropping my calls water heater parts."", ""I am very excited to try out this pet harness. I have heard some many positive things!""]",41.21.40.36,"LAT: -53, LONG: 103",windows,safari,windows,09/16/2024 11:32:39,12/31/2023 00:29:56,"[""pet harness"", ""pet toothpaste""]","[""pet carrier accessories"", ""pet food storage container"", ""pet dental care kit"", ""pet travel bag""]",pet crate accessories,01/01/2024,2025-07-31 16:57:57,0,0
Quo,Stwaltton,quostwaltton@gmail.com,SjBqfZqFLZnRUqbh,6552104660,09/04/1992,78 hours 1 minutes 55 seconds,free-trial,true,credit_card,"[""The way I was treated, I could not believe my ears. Hope you don't have to go through this toaster accessories.""]",252.92.89.139,"LAT: 54, LONG: 58",windows,firefox,windows,01/21/2024 08:14:59,07/27/2023 18:53:34,"[""video game console"", ""lego storage"", ""remote control toy storage"", ""remote control drone""]","[""board game storage"", ""action figure storage""]",dollhouse accessories,01/01/2024,2025-07-31 16:57:57,2,167.64
Dora,Yarason,dorayarason@icloud.com,xmv4exTMLWWo1yoa,0406802970,04/07/1995,46 hours 53 minutes 28 seconds,regular,true,stripe,"[""I am very happy with the way that this yoga mat has changed the very way that I live.""]",118.195.40.34,"LAT: 63, LONG: 154",ios,chrome,ios,08/04/2023 20:09:18,04/17/2023 19:42:15,"[""parka"", ""blazer"", ""sweater""]","[""socks"", ""sweater""]",accessories,01/01/2024,2025-07-31 16:57:57,1,522.76
Ian,Deyas,iandeyas@yahoo.com,B9YEGs93j2QxoV80,7477801200,03/27/1986,112 hours 45 minutes 26 seconds,regular,true,paypal,"[""The way the bluetooth speaker has changed my life, I could not believe my eyes when I saw this bluetooth speaker!""]",15.141.244.154,"LAT: 84, LONG: -156",unknown,firefox,unknown,08/01/2024 20:11:00,08/08/2024 08:38:01,"[""smart light bulb"", ""gaming keyboard"", ""monitor stand""]","[""smart home hub"", ""drone accessories"", ""action camera"", ""wireless mouse""]",4K TV,01/01/2024,2025-07-31 16:57:57,2,266.09
Gabe,Denina,gabedenina@aol.com,TRGFznhrTuBj8xM7,8380357993,01/21/2005,28 hours 0 minutes 22 seconds,free-trial,true,credit_card,"[""I am very happy with pet training treats"", ""I am very dissatisfied with this comic book."", ""I am very dissatisfied with the way that this bookends has changed my life.""]",149.33.9.210,"LAT: 89, LONG: -93",ios,chrome,ios,03/30/2022 10:18:49,04/18/2023 17:54:06,"[""external hard drive"", ""action camera"", ""monitor""]","[""desktop computer""]",VR headset accessories,01/01/2024,2025-07-31 16:57:57,2,1833.11
Cai,Paul,caipaul@hotmail.com,xEeVLD9VkNrOigmM,6816019449,04/07/1994,110 hours 19 minutes 7 seconds,regular,true,stripe,"[""The way I was treated, I could not believe my ears. Hope you don't have to go through this biography."", ""I am very happy with shoehorn"", ""The way I was treated, I could not believe my ears. Hope you don't have to go through this boots."", ""I am very frustrated with the Customer Service, they kept dropping my calls. I just want to return this pet shampoo.""]",28.33.252.134,"LAT: 59, LONG: -10",android,firefox,android,04/15/2022 02:03:52,10/25/2024 08:18:58,"[""exercise ball"", ""basketball hoop""]","[""baseball bat"", ""barbell set"", ""sports cap"", ""skateboard""]",sports watch,01/01/2024,2025-07-31 16:57:57,1,1376.07
