first_name,last_name,email,password_hash,phone_number,date_of_birth,time_on_app,user_type,is_active,last_payment_method,reviews,last_ip,last_coordinates,last_device,last_browser,last_os,last_login,last_logout,in_cart,wishlist,last_search,created_date,generated_at,purchase_count,total_spent
Sage,Janeton,sagejaneton@gmail.com,bvWviclGIHseP9M3,1530939353,02/01/2003,58 hours 26 minutes 54 seconds,regular,true,paypal,"[""I want to thank you for this textbook, it has changed my life. I am very happy with this textbook!""]",19.25.126.31,"LAT: 58, LONG: -100",windows,firefox,windows,04/22/2023 18:32:47,08/09/2024 11:15:17,"[""pet grooming gloves"", ""pet crate accessories"", ""pet bed accessories"", ""pet food storage container""]","[""pet crate accessories"", ""pet brush"", ""pet scratching post""]",pet leash,07/01/2023,2025-07-31 16:57:57,0,0
Mark,Vanxander,markvanxander@outlook.com,XjGtKJa1njPFRVOq,8347913312,02/04/2002,41 hours 22 minutes 27 seconds,premium,true,paypal,"[""I am very frustrated with the Customer Service, they kept dropping my calls. I just want to return this sweater."", ""I am very frustrated with the Customer Service, they kept dropping my calls. I just want to return this office chair cushions."", ""I am very frustrated with the Customer Service, they kept dropping my calls t-shirt."", ""I want to thank you for this exercise resistance bands, it has changed my life. I am very happy with this exercise resistance bands!"", ""My son bought this and he is very happy with this coat""]",19.224.37.28,"LAT: -83, LONG: -44",unknown,safari,linux,07/06/2023 04:55:20,04/03/2023 23:17:27,"[""dehumidifier"", ""food processor"", ""humidifier"", ""blender"", ""oven""]","[""water heater"", ""stove""]",humidifier,07/01/2023,2025-07-31 16:57:57,1,1634.29
Jack,Ziason,jackziason@yahoo.com,w8XMHkh837XGVyMs,5490713032,01/20/2001,61 hours 35 minutes 41 seconds,regular,false,credit_card,"[""My son bought this and he is very happy with this apron"", ""I am very satisfied with this makeup remover wipes"", ""My son bought this shoe polish and he has been telling me how happy he is with this shoe polish!"", ""The way this pet food storage container has changed my life, I could not believe my eyes when I saw this pet food storage container!"", ""I am very dissatisfied with how this performs compared to the last version of this cookware set.""]",215.45.105.227,"LAT: 42, LONG: 142",unknown,safari,unknown,03/14/2024 18:38:15,01/11/2023 18:38:46,"[""play kitchen accessories"", ""stuffed animal storage"", ""remote control boat""]","[""science kits"", ""play kitchen"", ""remote control car"", ""educational toys""]",remote control car,07/01/2023,2025-07-31 16:57:57,0,0
Zack,Saintwynley,zacksaintwynley@yahoo.com,qlPWkmOvmkpWoRR2,6409660253,10/16/1994,90 hours 30 minutes 3 seconds,premium,true,stripe,"[""I am very satisfied with this sectional sofa covers"", ""I am very happy with the way that this art book has changed the very way that I live.""]",78.211.75.74,"LAT: -78, LONG: 70",android,chrome,android,06/10/2022 12:15:09,01/24/2022 10:13:09,"[""remote control toy storage""]","[""robot building kit"", ""educational toy storage"", ""toy boxes"", ""remote control car"", ""action figures""]",arts and crafts storage,07/01/2023,2025-07-31 16:57:57,1,90.21
Gia,Ojake,giaojake@outlook.com,a3twcXJqFelk1VEZ,8341866673,11/10/1977,95 hours 53 minutes 27 seconds,premium,true,credit_card,"[""The amount of time I have save using this skirt is amazing! I am very happy with this skirt""]",44.220.162.236,"LAT: -67, LONG: 172",windows,safari,windows,09/16/2024 20:49:11,01/30/2023 05:49:45,"[""outdoor furniture set"", ""coffee table"", ""coffee table books"", ""bookshelf""]","[""bar stools"", ""outdoor furniture set"", ""sofa covers""]",armchair,07/01/2023,2025-07-31 16:57:57,0,0
Will,Xan,willxan@hotmail.com,GgUYiNCVEgQqQcCH,4926510564,12/16/1959,59 hours 3 minutes 46 seconds,admin,false,stripe,"[""The amount of time I have save using this shoehorn is amazing! I am very happy with this shoehorn"", ""I am very happy the way that this spatula"", ""I am very happy with office chair"", ""I want to thank you for this recliner, it has changed my life. I am very happy with this recliner!"", ""I want to thank you for this pet odor eliminator, it has changed my life. I am very happy with this pet odor eliminator!""]",213.106.190.137,"LAT: 24, LONG: -91",unknown,chrome,linux,05/12/2024 11:24:00,12/06/2023 17:45:33,"[""mystery novel"", ""biography"", ""fantasy novel"", ""science fiction novel""]","[""bookends"", ""cookbook""]",bookshelf organizers,07/01/2023,2025-07-31 16:57:57,1,2075.46
Wes,Pam,wespam@yahoo.com,R7Uo78BrSzGMVvRq,8329222262,06/09/1986,59 hours 58 minutes 14 seconds,free-trial,false,paypal,"[""I want to thank you for this sofa, it has changed my life. I am very happy with this sofa!"", ""I am very happy with heel grips""]",94.220.174.225,"LAT: -39, LONG: 20",windows,chrome,windows,04/24/2022 21:49:50,05/12/2024 15:13:52,"[""rice cooker""]","[""air purifier filters"", ""air conditioner"", ""humidifier"", ""washing machine"", ""dehumidifier""]",electric kettle,07/01/2023,2025-07-31 16:57:57,1,5267.83
Jake,Lezed,jakelezed@hotmail.com,eHtZToCU6nH0DjBJ,9209472861,03/22/1982,54 hours 7 minutes 26 seconds,regular,true,stripe,"[""The way I was treated, I could not believe my ears. Hope you don't have to go through this mixing bowls."", ""I am very happy with the way that this air purifier filters has changed the very way that I live."", ""I am very happy with the way that this bar stools has changed the very way that I live.""]",16.51.127.11,"LAT: -61, LONG: 120",android,firefox,android,04/16/2022 22:37:20,06/20/2023 05:08:28,"[""sectional sofa covers""]","[""bar stools"", ""garden bench"", ""sectional sofa covers"", ""recliner accessories"", ""sofa covers""]",armchair,07/01/2023,2025-07-31 16:57:57,2,824.28
Walt,Quasen,waltquasen@yahoo.com,lsccTauqAXUPq8qc,3643222231,09/11/1961,75 hours 54 minutes 5 seconds,premium,false,credit_card,"[""I am very happy with educational toys"", ""The amount of time I have save using this oven is amazing! I am very happy with this oven""]",253.201.85.147,"LAT: -57, LONG: -10",unknown,safari,unknown,11/12/2024 07:05:26,05/28/2024 21:42:09,"[""USB flash drive"", ""monitor stand"", ""home security system"", ""camera""]","[""home security system"", ""smartwatch"", ""smart lock"", ""laptop""]",4K TV,07/01/2023,2025-07-31 16:57:57,1,6510.76
Mark,Vontimsen,markvontimsen@protonmail.com,KxAzyErFuhv4r1MO,6127936342,11/05/2002,85 hours 53 minutes 14 seconds,regular,true,credit_card,"[""My son bought this swimwear and he has been telling me how happy he is with this swimwear!"", ""I am not satisfied with this makeup bag.""]",208.19.217.151,"LAT: 8, LONG: 90",unknown,safari,MacOS,01/28/2023 17:02:12,10/21/2023 20:58:53,"[""wedge sandals"", ""hiking boots"", ""flip flops"", ""work boots"", ""waterproof spray""]","[""boots""]",dress shoes,07/01/2023,2025-07-31 16:57:57,2,4184.3099999999995
