first_name,last_name,email,password_hash,phone_number,date_of_birth,time_on_app,user_type,is_active,last_payment_method,reviews,last_ip,last_coordinates,last_device,last_browser,last_os,last_login,last_logout,in_cart,wishlist,last_search,created_date,generated_at,purchase_count,total_spent
Gina,Jay,ginajay@hotmail.com,Hw8bZKlfWmGUdNOv,8299065578,11/09/1961,83 hours 38 minutes 22 seconds,free-trial,true,stripe,"[""I am very happy with this shoehorn"", ""I am very frustrated with the Customer Service, they kept dropping my calls ladle.""]",207.87.202.137,"LAT: -32, LONG: -146",ios,chrome,ios,03/12/2023 17:22:03,12/27/2023 20:31:57,"[""sweatshirt"", ""jeans"", ""dress shirt"", ""sweater"", ""accessories""]","[""sweater""]",activewear set,08/01/2024,2025-07-31 16:57:57,1,321.47
Quo,Saintcharlieley,quosaintcharlieley@gmail.com,fF07BqvKE9hPWOrU,7240942941,02/07/1981,38 hours 3 minutes 17 seconds,regular,true,stripe,"[""I am very dissatisfied with this jumpsuit."", ""I am very happy with insoles, it has changed my life.""]",155.46.239.53,"LAT: -29, LONG: -30",windows,chrome,windows,03/23/2024 04:42:12,02/28/2024 18:23:49,"[""book display stand"", ""young adult novel"", ""fantasy novel""]","[""bookmarks""]",photography book,08/01/2024,2025-07-31 16:57:57,1,55.47
Yan,Vanisla,yanvanisla@gmail.com,OigCtGStqU7xueXy,7829174852,10/04/1988,103 hours 36 minutes 3 seconds,regular,true,paypal,"[""I am very excited to try out this pet flea and tick treatment. I have heard some many positive things!"", ""I am very happy with bookshelf organizers"", ""The amount of time I have save using this pet grooming gloves is amazing! I am very happy with this pet grooming gloves""]",143.225.44.125,"LAT: 16, LONG: 65",unknown,safari,linux,02/07/2023 12:49:41,04/21/2024 02:51:41,"[""pet crate"", ""pet scratching post"", ""pet crate accessories"", ""pet toothpaste""]","[""pet shampoo"", ""pet training pads""]",pet grooming kit,08/01/2024,2025-07-31 16:57:57,1,51.97
Peter,Bella,peterbella@gmail.com,kYfi4evvA5HrLEoO,2921091730,06/27/1956,33 hours 33 minutes 35 seconds,free-trial,true,credit_card,"[""My son bought this and he is very happy with this apron"", ""Well worth the money on this cotton pads"", ""I am very happy with pet collar"", ""I am very happy the way that this pet shampoo"", ""I am cannot believe my eyes when I saw this blender accessories. I am very happy with this blender accessories""]",151.249.108.88,"LAT: 77, LONG: -126",android,chrome,android,10/27/2023 14:30:58,06/05/2023 19:41:43,"[""sectional sofa"", ""bed frame accessories"", ""console table"", ""desk organizers"", ""wardrobe""]","[""coffee table books""]",armchair,08/01/2024,2025-07-31 16:57:57,2,1593.22
Ada,Paul,adapaul@aol.com,rnexeoMsQWmvMzeu,4511226772,05/06/1984,81 hours 9 minutes 34 seconds,regular,true,stripe,"[""The way I was treated, I could not believe my ears. Hope you don't have to go through this toaster accessories."", ""Well worth the money on this smart doorbell""]",41.43.28.138,"LAT: 46, LONG: 83",ios,safari,ios,09/06/2023 03:02:29,02/19/2024 22:53:30,"[""microwave oven"", ""toaster""]","[""rice cooker"", ""water heater""]",coffee maker,08/01/2024,2025-07-31 16:57:57,4,1660.3899999999999
Vera,Vanyas,veravanyas@yahoo.com,KyrGyD0BFPw3maMy,7799991659,02/05/1955,105 hours 22 minutes 0 seconds,regular,true,paypal,"[""I am very dissatisfied with this arch support."", ""I am very happy with this casual shoes"", ""I want to thank you for this cookware set, it has changed my life. I am very happy with this cookware set!"", ""I am very happy with this sectional sofa covers""]",32.230.128.251,"LAT: -41, LONG: 124",android,firefox,android,07/27/2023 10:09:24,09/18/2023 12:51:53,"[""kettlebell set""]","[""sports watch"", ""yoga mat"", ""golf clubs"", ""kettlebell set""]",sports socks,08/01/2024,2025-07-31 16:57:57,0,0
Yan,Elkai,yanelkai@yahoo.com,FWvFQlNrFQ4I6tZM,9584440094,01/03/1977,47 hours 11 minutes 5 seconds,premium,true,stripe,"[""I am very dissatisfied with this accessories.""]",185.205.122.230,"LAT: -59, LONG: -78",android,firefox,android,02/26/2023 00:18:00,04/11/2024 05:39:32,"[""slippers"", ""casual shoes"", ""sneakers"", ""boot shaper"", ""ballet flats""]","[""sandals""]",shoe polish,08/01/2024,2025-07-31 16:57:57,0,0
Cal,Evaley,calevaley@protonmail.com,m8QnWBsGKRuWeXV6,3767953959,04/24/1980,111 hours 31 minutes 20 seconds,regular,true,paypal,"[""My son bought this hockey stick and he has been telling me how happy he is with this hockey stick!"", ""Wow this is an amazing hair clips."", ""I am very satisfied with this microwave oven accessories"", ""Wow this is an amazing fitness tracker band.""]",88.14.197.144,"LAT: 54, LONG: -152",android,chrome,android,10/22/2024 07:05:04,05/29/2022 11:50:33,"[""slotted spoon"", ""cutting board"", ""toaster oven""]","[""spatula""]",slow cooker,08/01/2024,2025-07-31 16:57:57,1,3270.16
Viv,Mcsia,vivmcsia@outlook.com,UaxfT8YYUdlikvuP,0842939874,01/10/1964,68 hours 22 minutes 2 seconds,regular,true,credit_card,"[""I am cannot believe my eyes when I saw this sneakers. I am very happy with this sneakers""]",173.179.147.192,"LAT: -7, LONG: -170",unknown,chrome,MacOS,09/01/2023 06:20:20,02/22/2023 17:36:27,"[""slow cooker"", ""blender accessories"", ""microwave oven accessories"", ""dehumidifier""]","[""humidifier filters"", ""food processor"", ""toaster""]",air purifier,08/01/2024,2025-07-31 16:57:57,0,0
Ike,Saintsia,ikesaintsia@outlook.com,wq9ATcu9maUCLYSq,4536746084,08/13/1989,104 hours 37 minutes 14 seconds,regular,true,stripe,"[""I love this stuffed animals."", ""I want to thank you for this action camera, it has changed my life. I am very happy with this action camera!"", ""The amount of time I have save using this vacuum cleaner is amazing! I am very happy with this vacuum cleaner""]",234.236.189.40,"LAT: -4, LONG: -73",android,chrome,android,02/15/2022 14:14:56,06/22/2024 13:39:23,"[""pet training treats"", ""pet water fountain""]","[""pet harness"", ""pet waste bags"", ""pet shampoo"", ""pet toys""]",pet nail clippers,08/01/2024,2025-07-31 16:57:57,1,2023.96
