first_name,last_name,email,password_hash,phone_number,date_of_birth,time_on_app,user_type,is_active,last_payment_method,reviews,last_ip,last_coordinates,last_device,last_browser,last_os,last_login,last_logout,in_cart,wishlist,last_search,created_date,generated_at,purchase_count,total_spent
Holly,Troyley,hollytroyley@yahoo.com,IKfcw89f64NlbhMX,7119716465,06/24/1953,75 hours 14 minutes 6 seconds,regular,true,stripe,"[""I am very happy with vacuum cleaner accessories"", ""I am very excited to try out this dress shoes. I have heard some many positive things!"", ""I love this pet dental care kit."", ""The way I was treated, I could not believe my ears. Hope you don't have to go through this arts and crafts kits.""]",143.191.228.251,"LAT: 7, LONG: 126",unknown,chrome,unknown,07/05/2024 06:24:56,08/09/2022 03:16:10,"[""remote control drone""]","[""video game console""]",trampoline accessories,09/01/2024,2025-07-31 16:57:57,1,593.6
Wan,Lequoley,wanlequoley@outlook.com,zxbeHrmGvMUUhVeb,9440360116,09/06/1995,80 hours 12 minutes 26 seconds,premium,true,paypal,"[""I am very happy the way that this patio umbrella""]",177.130.216.0,"LAT: 77, LONG: -41",ios,chrome,ios,05/30/2022 08:39:39,08/19/2023 16:57:34,"[""kitchen gadgets set"", ""kitchen towels"", ""oven mitts"", ""can opener""]","[""blender"", ""whisk"", ""slow cooker"", ""apron"", ""grater""]",kitchen towels,09/01/2024,2025-07-31 16:57:57,3,11501.27
Emma,Luna,emmaluna@outlook.com,r1ZPxR5b07k4bVVN,5500473626,08/07/2002,57 hours 8 minutes 23 seconds,premium,true,credit_card,"[""I am very satisfied with this pet first aid kit"", ""I am very dissatisfied with the way that this home security system.""]",60.199.48.228,"LAT: 54, LONG: 7",android,chrome,android,12/14/2023 20:38:19,06/09/2024 12:02:14,"[""pet nail clippers""]","[""pet crate accessories"", ""pet scratching post"", ""pet travel bag"", ""pet carrier"", ""pet feeding mat""]",pet harness,09/01/2024,2025-07-31 16:57:57,0,0
Gabe,Laora,gabelaora@gmail.com,ngtqGlb5id8FO4hQ,4254551193,11/12/1978,59 hours 11 minutes 27 seconds,premium,true,credit_card,"[""I want to thank you for this comic book, it has changed my life. I am very happy with this comic book!"", ""The way the washing machine has changed my life, I could not believe my eyes when I saw this washing machine!"", ""I am very happy with the way that this garden bench has changed the very way that I live.""]",27.5.223.157,"LAT: -65, LONG: 180",ios,firefox,ios,12/07/2023 11:24:04,03/11/2024 17:55:38,"[""shoe laces"", ""arch support"", ""shoe polish""]","[""sneakers"", ""flip flops"", ""shoe storage"", ""running shoes""]",heel grips,09/01/2024,2025-07-31 16:57:57,7,1016.99
Lara,Sttia,larasttia@yahoo.com,8Nn6bEPt31pqNmPc,2062488885,06/17/1964,31 hours 57 minutes 52 seconds,regular,true,credit_card,"[""I am very dissatisfied with this sectional sofa."", ""The way I was treated, I could not believe my ears. Hope you don't have to go through this art book."", ""Well worth the money on this bookshelf""]",53.0.193.200,"LAT: -47, LONG: -83",windows,chrome,windows,07/22/2022 02:48:48,05/07/2023 11:49:45,"[""whisk"", ""apron"", ""baking sheets""]","[""measuring cups""]",oven mitts,09/01/2024,2025-07-31 16:57:57,0,0
Hal,Leola,halleola@aol.com,g09f5KRDvhTFaSrV,1604575629,04/16/1984,107 hours 51 minutes 15 seconds,regular,true,credit_card,"[""I love this fitness tracker."", ""I am very happy with activewear set"", ""The way the exercise ball has changed my life, I could not believe my eyes when I saw this exercise ball!""]",114.10.110.135,"LAT: 83, LONG: 153",unknown,firefox,MacOS,09/01/2022 13:49:43,03/17/2022 20:13:50,"[""mattress protector"", ""garden bench"", ""gaming chair"", ""bed frame accessories"", ""armchair""]","[""office chair"", ""console table"", ""sofa""]",sofa,09/01/2024,2025-07-31 16:57:57,4,2842.9700000000003
Faye,Zoe,fayezoe@icloud.com,mjbjb8U7sN2Jct2g,8809940474,06/04/1981,51 hours 24 minutes 25 seconds,regular,true,stripe,"[""I am very happy with the way that this exercise mat"", ""Well worth the money on this fitness tracker"", ""I am very happy with the way that this soccer goal has changed the very way that I live."", ""The amount of time I have save using this musical instrument storage is amazing! I am very happy with this musical instrument storage""]",192.205.157.26,"LAT: -61, LONG: 68",android,safari,android,02/02/2022 10:36:30,08/23/2024 22:50:42,"[""skirt"", ""dress shirt"", ""socks""]","[""jeans"", ""loungewear"", ""coat"", ""sweatshirt"", ""dress""]",socks,09/01/2024,2025-07-31 16:57:57,1,30577.29
Xia,Macemma,xiamacemma@outlook.com,gflMyGJ6MKaqxXii,0062328165,12/28/1961,112 hours 43 minutes 4 seconds,premium,true,paypal,"[""Well worth the money on this smart home hub"", ""Wow this is an amazing armchair."", ""I am very happy with kitchen scale""]",43.105.175.8,"LAT: 4, LONG: 101",ios,chrome,ios,06/15/2024 04:47:34,07/25/2024 06:43:32,"[""blazer""]","[""t-shirt"", ""hoodie"", ""sweatshirt""]",jumpsuit,09/01/2024,2025-07-31 16:57:57,1,317.11
Evan,Mcmia,evanmcmia@yahoo.com,UdqnEmAbSzLHH57h,2162797721,01/04/1998,102 hours 26 minutes 31 seconds,regular,true,credit_card,"[""The way I was treated, I could not believe my ears. Hope you don't have to go through this sports towel."", ""I am very happy with science fiction novel"", ""The way the makeup sponge has changed my life, I could not believe my eyes when I saw this makeup sponge!"", ""I am very frustrated with the Customer Service, they kept dropping my calls heels."", ""My son bought this pet nail clippers and he has been telling me how happy he is with this pet nail clippers!""]",210.179.178.170,"LAT: 9, LONG: -46",ios,chrome,ios,07/18/2023 02:40:38,03/24/2023 23:51:03,"[""desk"", ""storage ottoman"", ""coffee table"", ""bookshelf organizers"", ""mattress protector""]","[""console table"", ""mattress protector""]",coffee table books,09/01/2024,2025-07-31 16:57:57,1,126.75
Ike,Hankson,ikehankson@gmail.com,e6aRAjYPRGQc1ZdS,2635956402,08/16/1984,94 hours 35 minutes 17 seconds,premium,false,credit_card,"[""The way I was treated, I could not believe my ears. Hope you don't have to go through this yoga blocks."", ""I am very frustrated with the Customer Service, they kept dropping my calls treadmill."", ""I am very happy with VR headset accessories, it has changed my life."", ""I am very happy with gaming chair cushions""]",105.22.247.168,"LAT: 42, LONG: 11",ios,firefox,ios,09/21/2024 23:47:27,07/08/2022 18:47:28,"[""pet carrier accessories"", ""pet leash""]","[""pet flea and tick treatment""]",pet dental care kit,09/01/2024,2025-07-31 16:57:57,2,11506.24
