first_name,last_name,email,password_hash,phone_number,date_of_birth,time_on_app,user_type,is_active,last_payment_method,reviews,last_ip,last_coordinates,last_device,last_browser,last_os,last_login,last_logout,in_cart,wishlist,last_search,created_date,generated_at,purchase_count,total_spent
Paul,Vontim,paulvontim@outlook.com,BWHjvugOYY9dJVy2,7421946727,08/08/1977,120 hours 42 minutes 34 seconds,premium,true,stripe,"[""The way I was treated, I could not believe my ears. Hope you don't have to go through this robot vacuum accessories.""]",22.0.254.125,"LAT: -13, LONG: 133",ios,safari,ios,08/31/2022 19:22:17,02/02/2024 00:26:05,"[""jumpsuit"", ""parka""]","[""suit"", ""loungewear"", ""accessories"", ""underwear""]",hoodie,05/01/2023,2025-07-31 16:57:57,1,25.35
Alice,Albudley,alicealbudley@gmail.com,autfItwIup9oPqEz,0068641879,02/15/1982,39 hours 44 minutes 39 seconds,premium,true,credit_card,"[""I am very happy with sectional sofa"", ""Wow this is an amazing running shoes."", ""My son bought this board game storage and he has been telling me how happy he is with this board game storage!""]",240.168.165.162,"LAT: 57, LONG: 42",unknown,safari,linux,02/02/2024 21:01:35,10/28/2024 23:05:38,"[""shaving kit"", ""spa gift set"", ""bathrobe""]","[""makeup brushes"", ""facial cleansing brush""]",hair straightener,05/01/2023,2025-07-31 16:57:57,0,0
Hal,Alzoeley,halalzoeley@gmail.com,2zEenx5OpEvV1XQ9,7810933195,04/02/1970,53 hours 40 minutes 59 seconds,free-trial,true,credit_card,"[""The way I was treated, I could not believe my ears. Hope you don't have to go through this kettlebell set."", ""Wow I cannot believe this wardrobe"", ""The way the activewear set has changed my life, I could not believe my eyes when I saw this activewear set!"", ""I want to thank you for this blender accessories, it has changed my life. I am very happy with this blender accessories!"", ""The way I was treated, I could not believe my ears. Hope you don't have to go through this pet scratching post.""]",245.73.68.151,"LAT: -50, LONG: -40",unknown,firefox,MacOS,10/21/2022 17:03:37,08/21/2022 22:15:46,"[""art book"", ""fantasy novel"", ""science fiction novel"", ""mystery novel""]","[""graphic novel"", ""mystery novel"", ""book display stand""]",art book,05/01/2023,2025-07-31 16:57:57,0,0
Dora,Quo,doraquo@gmail.com,5ljeOD3sBFA3Zu41,9773971188,09/28/2000,84 hours 4 minutes 11 seconds,free-trial,true,paypal,"[""Wow this is an amazing pet nail clippers.""]",11.181.219.36,"LAT: -36, LONG: 160",windows,chrome,windows,01/16/2023 16:33:30,12/17/2024 06:01:16,"[""printer"", ""microphone"", ""smart light bulb"", ""camera""]","[""microphone"", ""tablet stylus"", ""gaming keyboard"", ""wireless mouse"", ""smart plug""]",camera bag,05/01/2023,2025-07-31 16:57:57,0,0
Yas,Sam,yassam@yahoo.com,L1Wah0BdnbfkR6KE,4813521592,08/22/1951,12 hours 56 minutes 48 seconds,premium,false,stripe,"[""My son bought this video game console and he has been telling me how happy he is with this video game console!"", ""I am very satisfied with this sweater""]",142.68.57.56,"LAT: -71, LONG: -128",ios,firefox,ios,04/20/2023 04:47:44,08/27/2024 20:08:13,"[""bookshelf"", ""storage ottoman"", ""outdoor furniture set""]","[""coffee table books"", ""sofa covers""]",office chair,05/01/2023,2025-07-31 16:57:57,7,6309.059999999999
Hal,Wendy,halwendy@hotmail.com,7p4oMTDwfAXhzPHw,5129634659,01/03/1969,29 hours 55 minutes 32 seconds,regular,true,stripe,"[""The way I was treated, I could not believe my ears. Hope you don't have to go through this jumpsuit."", ""My son bought this and he is very happy with this slippers"", ""The way I was treated, I could not believe my ears. Hope you don't have to go through this lip balm."", ""Wow this is an amazing apron.""]",241.226.37.216,"LAT: -43, LONG: -91",windows,firefox,windows,06/14/2024 17:38:34,04/14/2024 04:01:54,"[""exercise mat"", ""elliptical machine""]","[""fitness tracker accessories"", ""sports headband""]",exercise ball,05/01/2023,2025-07-31 16:57:57,0,0
Ian,Vanwill,ianvanwill@outlook.com,d1dZwoNYwVmqS3QA,6277515054,05/21/1954,81 hours 19 minutes 13 seconds,premium,true,paypal,"[""My son bought this monitor and he has been telling me how happy he is with this monitor!"", ""I am very happy with the way that this shoe polish has changed the very way that I live."", ""I am very happy with remote control drone, it has changed my life."", ""The amount of time I have save using this smart thermostat is amazing! I am very happy with this smart thermostat"", ""I am very happy the way that this book covers""]",165.35.143.41,"LAT: -36, LONG: -16",android,firefox,android,01/27/2024 18:06:49,03/10/2023 14:25:43,"[""coffee maker"", ""slow cooker parts"", ""oven""]","[""food processor parts"", ""air purifier""]",water heater,05/01/2023,2025-07-31 16:57:57,9,7901.2699999999995
Bea,Vonray,beavonray@outlook.com,Qd5cv2HcL3P8EOIU,4223116282,12/24/1998,62 hours 11 minutes 4 seconds,regular,true,credit_card,"[""I am very happy the way that this bookshelf organizers""]",101.122.231.212,"LAT: -79, LONG: -144",android,firefox,android,09/25/2022 19:47:30,07/27/2022 02:28:59,"[""blender accessories""]","[""water heater parts"", ""refrigerator"", ""oven"", ""air conditioner""]",microwave oven accessories,05/01/2023,2025-07-31 16:57:57,1,252.19
Zed,Elkara,zedelkara@gmail.com,qXzWkztdOvpFKqNo,0310689591,05/02/1975,29 hours 37 minutes 26 seconds,regular,true,paypal,"[""I love this pet training treats."", ""I want to thank you for this pet travel bag, it has changed my life. I am very happy with this pet travel bag!"", ""The way I was treated, I could not believe my ears. Hope you don't have to go through this musical instrument storage."", ""Wow I cannot believe this can opener"", ""The way I was treated, I could not believe my ears. Hope you don't have to go through this bed frame accessories.""]",129.211.114.103,"LAT: -27, LONG: 37",android,firefox,android,12/07/2022 18:39:44,06/05/2024 17:01:51,"[""poetry collection"", ""biography""]","[""young adult novel"", ""cookbook"", ""history book"", ""book display stand"", ""mystery novel""]",bookmarks,05/01/2023,2025-07-31 16:57:57,0,0
Bea,Jaketon,beajaketon@yahoo.com,2BNuWSSMUXMQjuGo,1625922546,12/07/1956,84 hours 3 minutes 56 seconds,premium,true,credit_card,"[""I love this trampoline accessories."", ""I am very satisfied with this musical instruments for kids""]",124.91.159.20,"LAT: -12, LONG: 19",unknown,firefox,linux,07/08/2022 12:19:04,05/27/2024 03:40:22,"[""ceramic cookware"", ""cutting board""]","[""kitchen scale""]",oven mitts,05/01/2023,2025-07-31 16:57:57,1,773.63
