first_name,last_name,email,password_hash,phone_number,date_of_birth,time_on_app,user_type,is_active,last_payment_method,reviews,last_ip,last_coordinates,last_device,last_browser,last_os,last_login,last_logout,in_cart,wishlist,last_search,created_date,generated_at,purchase_count,total_spent
Vera,Macrexsen,veramacrexsen@hotmail.com,ZB3MsyBnruO64xn1,3882291616,10/13/1953,97 hours 45 minutes 51 seconds,free-trial,false,credit_card,"[""I want to thank you for this stuffed animals, it has changed my life. I am very happy with this stuffed animals!"", ""I am very happy with the way that this comic book has changed the very way that I live."", ""I am very frustrated with the Customer Service, they kept dropping my calls desktop computer."", ""The way I was treated, I could not believe my ears. Hope you don't have to go through this wrist wraps.""]",165.191.87.73,"LAT: 14, LONG: 106",android,firefox,android,09/04/2023 03:09:24,10/28/2023 03:49:57,"[""gaming chair cushions"", ""coffee table books"", ""storage ottoman""]","[""dining chairs""]",sectional sofa,01/01/2023,2025-07-31 16:57:57,1,317.4
Ula,Mcpaulson,ulamcpaulson@gmail.com,KvZZMnZElvJ4esOE,8031644726,10/09/1951,89 hours 1 minutes 50 seconds,regular,true,stripe,"[""I am very satisfied with this action figures"", ""The way this bookmarks has changed my life, I could not believe my eyes when I saw this bookmarks!"", ""I am very happy with the way that this biography has changed the very way that I live."", ""The way the oven has changed my life, I could not believe my eyes when I saw this oven!"", ""I am very happy with pet waste bags""]",38.101.199.161,"LAT: 32, LONG: 136",ios,chrome,ios,01/04/2023 19:09:19,02/19/2024 06:12:48,"[""dining chairs"", ""office chair cushions""]","[""office chair"", ""office chair cushions"", ""bed"", ""dining table accessories""]",dining table accessories,01/01/2023,2025-07-31 16:57:57,0,0
Peter,Willson,peterwillson@icloud.com,nV3d8O8YpyqdFR3J,3672753830,01/04/1952,79 hours 27 minutes 37 seconds,regular,false,paypal,"[""I am very dissatisfied with the way that this toaster accessories has changed my life."", ""I am very frustrated with the Customer Service, they kept dropping my calls tablet."", ""My son bought this and he is very happy with this reading light"", ""I am very happy with the way that this dining chairs has changed the very way that I live."", ""I am very happy with nail clippers""]",100.10.127.216,"LAT: 52, LONG: 155",unknown,firefox,unknown,06/11/2023 09:22:09,05/27/2024 19:02:53,"[""bookshelf organizers"", ""bookends"", ""book display stand"", ""thriller novel"", ""reading light""]","[""bookshelf organizers"", ""mystery novel"", ""cookbook"", ""biography"", ""bookends""]",children's book,01/01/2023,2025-07-31 16:57:57,0,0
Olivia,Vanhollysen,oliviavanhollysen@outlook.com,gvOzDGBLgyENdgPN,9718805580,01/21/1999,18 hours 27 minutes 37 seconds,regular,true,credit_card,"[""I am very happy with the way that this pet training treats has changed my life."", ""I am very happy with the way that this sports towel has changed the very way that I live.""]",99.218.143.220,"LAT: 9, LONG: 5",ios,firefox,ios,12/15/2023 06:17:35,12/04/2022 01:41:48,"[""tongs"", ""cast iron skillet"", ""non-stick cookware""]","[""colander""]",rice cooker,01/01/2023,2025-07-31 16:57:57,0,0
Zed,Pia,zedpia@yahoo.com,uhQsqERG82wtC9Qd,4900296857,05/06/1989,30 hours 20 minutes 49 seconds,regular,true,credit_card,"[""The way the trench coat has changed my life, I could not believe my eyes when I saw this trench coat!"", ""I am very happy with the way that this blender accessories has changed the very way that I live."", ""I am very happy with the way that this measuring cups has changed my life."", ""I am not satisfied with this phone case.""]",221.187.249.115,"LAT: 21, LONG: 4",android,safari,android,05/09/2023 04:08:31,08/15/2022 06:53:31,"[""basketball hoop"", ""exercise ball""]","[""exercise mat"", ""exercise resistance bands"", ""kettlebell set"", ""golf clubs""]",yoga mat,01/01/2023,2025-07-31 16:57:57,4,1561.47
Qua,Stqua,quastqua@hotmail.com,h3bsgQdyOuGTlhu5,0797210195,06/28/1966,76 hours 13 minutes 24 seconds,regular,true,stripe,"[""I am very happy with the way that this pet grooming gloves has changed the very way that I live."", ""I am very frustrated with the Customer Service, they kept dropping my calls body lotion."", ""I am very dissatisfied with this science fiction novel."", ""I am very frustrated with the Customer Service, they kept dropping my calls external hard drive.""]",68.50.202.155,"LAT: -86, LONG: 87",windows,firefox,windows,11/21/2023 02:07:30,05/30/2022 05:08:53,"[""remote control drone"", ""lego set""]","[""lego storage"", ""stuffed animal storage"", ""remote control boat"", ""action figure storage"", ""educational toy storage""]",dollhouse,01/01/2023,2025-07-31 16:57:57,1,55.3
Mila,Wyn,milawyn@hotmail.com,ZrgVQ2551A3dTPeH,9861121909,04/14/1994,53 hours 27 minutes 33 seconds,regular,true,paypal,"[""The way I was treated, I could not believe my ears. Hope you don't have to go through this recliner."", ""I am very excited to try out this bicycle. I have heard some many positive things!"", ""The way I was treated, I could not believe my ears. Hope you don't have to go through this suit."", ""I am very dissatisfied with the way that this console table has changed my life.""]",69.174.7.4,"LAT: 17, LONG: 172",windows,safari,windows,04/22/2024 01:58:22,10/25/2022 03:17:32,"[""science fiction novel""]","[""romance novel"", ""bookends"", ""history book"", ""fantasy novel""]",self-help book,01/01/2023,2025-07-31 16:57:57,0,0
Jack,David,jackdavid@gmail.com,Nv72A0JbpT4D3ErV,0398886259,12/04/1983,122 hours 30 minutes 46 seconds,regular,true,stripe,"[""I am very happy with the way that this rice cooker"", ""I want to thank you for this toy boxes, it has changed my life. I am very happy with this toy boxes!"", ""My son bought this peeler and he has been telling me how happy he is with this peeler!"", ""My son bought this running shoes and he has been telling me how happy he is with this running shoes!"", ""I am very frustrated with the Customer Service, they kept dropping my calls wardrobe.""]",181.82.69.140,"LAT: -18, LONG: 61",ios,chrome,ios,01/07/2022 17:05:40,10/04/2023 15:22:29,"[""pet scratching post"", ""pet odor eliminator"", ""pet collar"", ""pet carrier accessories""]","[""pet crate accessories"", ""pet bed accessories""]",pet crate,01/01/2023,2025-07-31 16:57:57,3,27771.269999999997
Liam,Veraley,liamveraley@aol.com,PvVYJwMPgvRYU6bX,3470121068,05/27/1984,12 hours 23 minutes 31 seconds,regular,false,stripe,"[""The way I was treated, I could not believe my ears. Hope you don't have to go through this food processor parts."", ""Well worth the money on this smart home device"", ""I want to thank you for this office chair, it has changed my life. I am very happy with this office chair!""]",24.105.251.105,"LAT: 25, LONG: 147",ios,chrome,ios,10/26/2023 13:15:05,04/14/2022 07:13:13,"[""makeup brushes"", ""face mask"", ""hair care set""]","[""hair dryer""]",travel toiletry bag,01/01/2023,2025-07-31 16:57:57,3,11196.66
Amber,Vanvera,ambervanvera@yahoo.com,Dj1HGnnhWG0hjpEC,3849353324,04/10/1997,11 hours 40 minutes 38 seconds,premium,true,stripe,"[""I am very frustrated with the Customer Service, they kept dropping my calls sports towel.""]",50.164.188.106,"LAT: 59, LONG: 167",windows,chrome,windows,10/08/2023 03:04:37,12/13/2022 15:20:38,"[""dollhouse"", ""science kits"", ""remote control boat""]","[""remote control car"", ""arts and crafts kits""]",action figure storage,01/01/2023,2025-07-31 16:57:57,0,0
