transaction_id,user_email,product_name,product_category,quantity,unit_price,discount_percent,discount_amount,shipping_cost,total_price,purchase_date,purchase_time,payment_method,purchase_status,month,year
TXJNAPS4JIK2,waltstzack@icloud.com,dining chairs,furniture,1,2725.51,0,0.0,0,2725.51,12/25/2023,13:18:59,stripe,completed,12,2023
47TYIZO7WJD3,waltstzack@icloud.com,wrist wraps,sports_equipment,1,1619.94,0,0.0,0,1619.94,12/20/2023,00:46:27,stripe,completed,12,2023
JK4EW82UHSVY,waltstzack@icloud.com,robot building kit,toys,1,158.47,15,23.77,0,134.7,12/13/2023,11:40:46,credit_card,completed,12,2023
B073LEAQV4P1,waltstzack@icloud.com,jumpsuit,clothing,1,526.83,15,79.02,0,447.8,12/15/2023,06:39:56,credit_card,completed,12,2023
WEOKG3VQZ56X,waltstzack@icloud.com,beard grooming kit,beauty_products,1,169.14,0,0.0,0,169.14,12/07/2023,19:58:23,credit_card,completed,12,2023
BAJ57EGOGYDH,waltstzack@icloud.com,kitchen utensils set,kitchenware,1,309.27,0,0.0,0,309.27,12/22/2023,18:41:01,stripe,completed,12,2023
0YEBVH4ZJUOK,waltstzack@icloud.com,jump rope,sports_equipment,1,1676.38,0,0.0,0,1676.38,12/29/2023,00:16:26,paypal,completed,12,2023
75LZPZQG7I0Z,waltstzack@icloud.com,graphic novel,books,1,65.48,0,0.0,0,65.48,12/05/2023,23:13:15,credit_card,completed,12,2023
V47ZU0UDP3YT,xialaalexley@icloud.com,pet flea and tick treatment,pet_supplies,1,187.79,0,0.0,0,187.79,12/21/2023,08:23:28,paypal,completed,12,2023
CS6O9BSQB7IV,ryanmax@gmail.com,yoga blocks,sports_equipment,1,1903.98,0,0.0,0,1903.98,12/15/2023,23:50:07,stripe,completed,12,2023
8IV2W20EWGFW,karadexia@gmail.com,wrist wraps,sports_equipment,2,1614.14,5,161.41,0,3066.87,12/13/2023,15:44:59,credit_card,completed,12,2023
87VGGBH0SW5A,karadexia@gmail.com,shoe laces,footwear,1,232.84,0,0.0,0,232.84,12/22/2023,11:45:18,paypal,completed,12,2023
WE5QBG04F6YQ,karadexia@gmail.com,blender,kitchenware,1,386.92,10,38.69,0,348.23,12/10/2023,23:29:38,stripe,completed,12,2023
SPGVTKK04MUA,karadexia@gmail.com,poetry collection,books,1,89.73,0,0.0,0,89.73,12/01/2023,02:19:39,stripe,completed,12,2023
NGY39HKBO7Q6,karadexia@gmail.com,wrist wraps,sports_equipment,1,1614.66,0,0.0,0,1614.66,12/08/2023,18:05:19,paypal,completed,12,2023
YJPN8TS8GHGL,karadexia@gmail.com,activewear set,clothing,1,179.56,15,26.93,0,152.63,12/06/2023,16:38:30,credit_card,completed,12,2023
G4VJIXIK2EWU,gracediivy@outlook.com,pet collar,pet_supplies,1,66.51,0,0.0,0,66.51,12/25/2023,10:04:05,credit_card,completed,12,2023
RM3RDY3QDFCX,gracediivy@outlook.com,air purifier,home_appliances,1,3778.83,0,0.0,0,3778.83,12/28/2023,16:53:58,paypal,completed,12,2023
BVH3OEWPQO5I,gracediivy@outlook.com,cast iron skillet,kitchenware,1,93.08,20,18.62,0,74.46,12/31/2023,18:33:42,paypal,completed,12,2023
5MV33N0D28VC,piavic@yahoo.com,armchair,furniture,1,9208.11,0,0.0,0,9208.11,12/28/2023,15:36:05,stripe,completed,12,2023
QE91FTNQSZTD,piavic@yahoo.com,sofa covers,furniture,3,370.33,0,0.0,0,1111.0,12/04/2023,04:54:59,credit_card,completed,12,2023
5ZWUWW5MSK9D,ivyvonliam@gmail.com,air fryer,kitchenware,1,350.49,0,0.0,0,350.49,12/28/2023,00:10:57,stripe,completed,12,2023
3VIRVCINGW4I,ivyvonliam@gmail.com,makeup sponge,beauty_products,1,101.5,0,0.0,0,101.5,12/09/2023,03:43:18,credit_card,completed,12,2023
9Z1BRQRXF27E,markbealey@protonmail.com,mattress protector,furniture,3,1225.86,0,0.0,0,3677.59,12/02/2023,09:19:24,paypal,completed,12,2023
QUR6UZVQ7PKQ,vicxansen@gmail.com,sports towel,sports_equipment,1,1380.95,10,138.1,0,1242.86,12/08/2023,14:41:08,stripe,completed,12,2023
2ER9WBGGVCSW,vicxansen@gmail.com,book covers,books,1,57.49,0,0.0,0,57.49,12/14/2023,07:55:07,stripe,completed,12,2023
G7T6MPGROO6N,timvonxander@yahoo.com,running shoes,footwear,5,176.98,0,0.0,0,884.92,12/25/2023,04:13:31,credit_card,completed,12,2023
2ZGAKAYTP759,hankmcrita@gmail.com,bookshelf organizers,furniture,4,3672.19,0,0.0,0,14688.74,12/02/2023,09:01:52,credit_card,completed,12,2023
00H27XT90HJT,hankmcrita@gmail.com,comic book,books,1,94.72,0,0.0,0,94.72,12/19/2023,14:19:41,paypal,completed,12,2023
9IAQ384MTMZV,hugomacgia@yahoo.com,VR headset accessories,electronics,1,1543.01,0,0.0,0,1543.01,12/08/2023,15:17:20,credit_card,completed,12,2023
8R5MHGIHWDVN,hugomacgia@yahoo.com,stuffed animals,toys,1,313.74,0,0.0,0,313.74,12/21/2023,19:03:54,paypal,completed,12,2023
WKY7YCRZHXYR,hugomacgia@yahoo.com,coffee table books,furniture,1,1837.57,15,275.63,0,1561.93,12/09/2023,08:07:31,stripe,completed,12,2023
LRGRBRGDP95M,ianlewanson@yahoo.com,gaming chair,furniture,1,8586.53,0,0.0,0,8586.53,12/16/2023,12:06:48,paypal,completed,12,2023
NI743ZUHXUJW,kaiojade@hotmail.com,dollhouse,toys,1,253.37,20,50.67,0,202.69,12/14/2023,17:02:43,credit_card,completed,12,2023
WZOA6UNWR8KO,xiamactialey@icloud.com,colander,kitchenware,1,324.52,0,0.0,0,324.52,12/01/2023,18:25:24,paypal,completed,12,2023
2KY9HMESBGB3,xiamactialey@icloud.com,body lotion,beauty_products,1,16.55,0,0.0,5.58,22.13,12/10/2023,13:36:45,paypal,completed,12,2023
PKLZUOFMI5BE,xiamactialey@icloud.com,makeup remover wipes,beauty_products,1,49.92,0,0.0,9.27,59.19,12/06/2023,12:52:13,stripe,completed,12,2023
UAWLA36C6L4F,xiamactialey@icloud.com,pet dental care kit,pet_supplies,1,115.41,0,0.0,0,115.41,12/20/2023,06:03:23,paypal,completed,12,2023
HH6YGJ09HH4W,liamvera@protonmail.com,play kitchen accessories,toys,5,143.17,10,71.58,0,644.26,12/11/2023,18:12:02,paypal,completed,12,2023
0R6SSDNTJRUV,ziakia@yahoo.com,underwear,clothing,1,292.52,0,0.0,0,292.52,12/29/2023,22:55:40,stripe,completed,12,2023
LKRIGJYJC242,ziakia@yahoo.com,biography,books,1,88.78,15,13.32,0,75.46,12/14/2023,09:04:10,stripe,completed,12,2023
AQZZ21RKHT6O,ziakia@yahoo.com,board game storage,toys,1,39.46,0,0.0,14.89,54.35,12/30/2023,06:22:43,credit_card,completed,12,2023
RGRM54HU3PNT,ziakia@yahoo.com,air purifier,home_appliances,1,3769.27,15,565.39,0,3203.88,12/28/2023,14:00:34,paypal,completed,12,2023
HJ58678C46A9,ziakia@yahoo.com,tweezers,beauty_products,5,135.7,5,33.93,0,644.58,12/07/2023,12:52:17,paypal,completed,12,2023
6CIT2QQLDC2N,graceelvera@outlook.com,bookshelf,furniture,4,8739.7,10,3495.88,0,31462.93,12/26/2023,12:43:28,stripe,completed,12,2023
JW6OX46NWOXQ,graceelvera@outlook.com,remote control boat,toys,1,403.08,0,0.0,0,403.08,12/08/2023,17:49:41,credit_card,completed,12,2023
3LRKILP9UN81,alexelrialey@yahoo.com,young adult novel,books,1,50.02,25,12.5,12.49,50.0,12/16/2023,18:21:32,paypal,completed,12,2023
AE3ZZ5BKN8AH,jackorex@yahoo.com,young adult novel,books,1,50.13,0,0.0,0,50.13,12/01/2023,02:18:26,credit_card,completed,12,2023
5YT64BX2C25V,jackorex@yahoo.com,trampoline accessories,toys,1,14.1,0,0.0,8.85,22.95,12/17/2023,22:03:43,stripe,completed,12,2023
91NS7ZAR6VUC,chrishugoley@yahoo.com,blazer,clothing,1,539.45,20,107.89,0,431.56,12/04/2023,01:02:27,paypal,completed,12,2023
Z1O70CWL4V8N,chrishugoley@yahoo.com,smart speaker,electronics,1,2062.31,0,0.0,0,2062.31,12/16/2023,04:20:33,credit_card,completed,12,2023
L484JP187R21,chrishugoley@yahoo.com,cookbook,books,5,134.45,0,0.0,0,672.26,12/06/2023,00:21:09,paypal,completed,12,2023
69JRV7M4VNIC,chrishugoley@yahoo.com,makeup set,beauty_products,1,189.01,5,9.45,0,179.56,12/28/2023,21:27:55,stripe,completed,12,2023
QIVZADYVFXA0,wynvonzialey@outlook.com,humidifier,home_appliances,1,2075.84,0,0.0,0,2075.84,12/17/2023,18:05:40,paypal,completed,12,2023
EGSX3D3AW0YF,saraelpia@protonmail.com,rice cooker,home_appliances,1,3855.71,0,0.0,0,3855.71,12/02/2023,18:14:45,paypal,completed,12,2023
KXE1PVZY9UNJ,saraelpia@protonmail.com,blender,kitchenware,5,384.27,0,0.0,0,1921.35,12/30/2023,09:20:51,paypal,completed,12,2023
C58F88ZJH02T,saraelpia@protonmail.com,children's book,books,1,41.14,0,0.0,10.63,51.77,12/16/2023,23:54:29,stripe,completed,12,2023
49I5XYHM5GMA,saraelpia@protonmail.com,nail file,beauty_products,1,38.42,25,9.6,13.03,41.84,12/17/2023,04:57:51,stripe,completed,12,2023
G7KRVOUO5XF7,bellavonmia@outlook.com,lego set,toys,3,168.49,5,25.27,0,480.19,12/27/2023,14:20:16,stripe,completed,12,2023
